,dimensions,my as columns,my as rows,numpy as columns,numpy as rows
0,50x50,0.012001,0.013001,0.0,0.0
1,50x50,0.012001,0.012001,0.001,0.0
2,50x50,0.012001,0.011001,0.0,0.001
3,50x50,0.012001,0.012001,0.0,0.0
4,50x50,0.011001,0.011001,0.001,0.001
5,50x50,0.012001,0.012001,0.0,0.0
6,50x50,0.012001,0.012001,0.0,0.0
7,50x50,0.012001,0.012001,0.0,0.0
8,50x50,0.011001,0.011001,0.001,0.001
9,50x50,0.012001,0.012001,0.0,0.0
10,50x50,0.012001,0.012001,0.0,0.0
11,50x50,0.011001,0.011001,0.0,0.001
12,50x50,0.012001,0.012001,0.0,0.0
13,50x50,0.011001,0.011001,0.001,0.001
14,50x50,0.012001,0.012001,0.0,0.0
15,50x50,0.012001,0.012001,0.0,0.0
16,50x50,0.012001,0.013001,0.0,0.001
17,50x50,0.012001,0.012001,0.0,0.0
18,50x50,0.011001,0.012001,0.0,0.001
19,50x50,0.012001,0.011001,0.0,0.001
20,50x50,0.012001,0.012001,0.0,0.0
21,50x50,0.012001,0.012001,0.0,0.0
22,50x50,0.012001,0.012001,0.001,0.0
23,50x50,0.012001,0.012001,0.0,0.0
24,50x50,0.012001,0.012001,0.0,0.0
25,50x50,0.012001,0.012001,0.0,0.0
26,50x50,0.012001,0.012001,0.0,0.0
27,50x50,0.012001,0.011001,0.0,0.001
28,50x50,0.011001,0.012001,0.001,0.001
29,50x50,0.011001,0.011001,0.001,0.001
30,50x50,0.012001,0.012001,0.0,0.0
31,50x50,0.012001,0.012001,0.0,0.0
32,50x50,0.012001,0.012001,0.001,0.001
33,50x50,0.012001,0.012001,0.0,0.001
34,50x50,0.012001,0.013001,0.0,0.0
35,50x50,0.012001,0.012001,0.0,0.0
36,50x50,0.012001,0.012001,0.0,0.0
37,50x50,0.012001,0.012001,0.0,0.001
38,50x50,0.012001,0.011001,0.0,0.001
39,50x50,0.012001,0.012001,0.0,0.0
40,50x50,0.012001,0.012001,0.0,0.001
41,50x50,0.012001,0.012001,0.0,0.0
42,50x50,0.012001,0.012001,0.0,0.0
43,50x50,0.012001,0.012001,0.001,0.0
44,50x50,0.012001,0.012001,0.0,0.0
45,50x50,0.012001,0.012001,0.001,0.0
46,50x50,0.012001,0.012001,0.0,0.001
47,50x50,0.011001,0.011001,0.001,0.001
48,50x50,0.012001,0.012001,0.0,0.0
49,50x50,0.012001,0.012001,0.0,0.0
50,200x200,0.186018,0.187019,0.006001,0.005001
51,200x200,0.181018,0.183018,0.006001,0.005
52,200x200,0.181018,0.181018,0.005,0.006001
53,200x200,0.185019,0.181018,0.005001,0.005
54,200x200,0.184019,0.184018,0.006001,0.006001
55,200x200,0.185019,0.183018,0.005,0.005001
56,200x200,0.191019,0.182018,0.005001,0.006001
57,200x200,0.183018,0.180018,0.005001,0.006001
58,200x200,0.185019,0.181018,0.006001,0.006001
59,200x200,0.184018,0.182018,0.007001,0.006001
60,200x200,0.186018,0.184018,0.005001,0.006001
61,200x200,0.181018,0.182018,0.006001,0.006001
62,200x200,0.183018,0.188019,0.005001,0.005001
63,200x200,0.181018,0.180018,0.005001,0.006001
64,200x200,0.181018,0.182018,0.006001,0.006001
65,200x200,0.182018,0.181018,0.005,0.006001
66,200x200,0.185019,0.186019,0.006001,0.005
67,200x200,0.191019,0.196019,0.006001,0.006001
68,200x200,0.186018,0.185018,0.006001,0.006001
69,200x200,0.184018,0.185019,0.005001,0.005
70,200x200,0.189019,0.184018,0.006001,0.006001
71,200x200,0.213021,0.186019,0.006001,0.005001
72,200x200,0.206021,0.207021,0.005001,0.006001
73,200x200,0.189019,0.192019,0.005001,0.005
74,200x200,0.184018,0.185019,0.006001,0.007001
75,200x200,0.182018,0.186018,0.006001,0.005001
76,200x200,0.183018,0.183018,0.005001,0.005001
77,200x200,0.180018,0.180018,0.006001,0.006001
78,200x200,0.185019,0.187019,0.005001,0.006001
79,200x200,0.20002,0.208021,0.006001,0.006001
80,200x200,0.183018,0.183018,0.005,0.005
81,200x200,0.182018,0.182018,0.005001,0.005001
82,200x200,0.209021,0.188019,0.006001,0.005
83,200x200,0.184018,0.181018,0.005,0.006001
84,200x200,0.182018,0.182018,0.006001,0.005
85,200x200,0.182018,0.19802,0.005,0.006001
86,200x200,0.186019,0.181018,0.005,0.006001
87,200x200,0.190019,0.188019,0.006001,0.006001
88,200x200,0.189019,0.184018,0.007001,0.005001
89,200x200,0.187019,0.189019,0.005001,0.005001
90,200x200,0.182018,0.182018,0.005001,0.006001
91,200x200,0.182018,0.182018,0.005001,0.005001
92,200x200,0.185019,0.185019,0.006001,0.006001
93,200x200,0.20002,0.206021,0.007001,0.006001
94,200x200,0.185019,0.182018,0.006001,0.005001
95,200x200,0.183018,0.182018,0.005,0.005
96,200x200,0.181018,0.182018,0.006001,0.005
97,200x200,0.182018,0.188019,0.005001,0.006001
98,200x200,0.183018,0.183018,0.005001,0.005001
99,200x200,0.183018,0.183018,0.005,0.005
100,500x500,1.186119,1.138114,0.034003,0.037004
101,500x500,1.141114,1.160116,0.035003,0.035003
102,500x500,1.162116,1.148115,0.034003,0.034003
103,500x500,1.130113,1.139114,0.035003,0.036004
104,500x500,1.128113,1.134114,0.035003,0.036004
105,500x500,1.133113,1.141114,0.035003,0.035003
